id,sentiment,state,timestamp
1,-0.0416,MA,1577856362
2,0.0337,MN,1577859441
3,-0.8113,CT,1577862211
4,-0.7277,NV,1577863811
5,-0.1896,VA,1577865810
6,-0.3610,SD,1577870952
7,-1.0000,DC,1577871792
8,0.9730,OH,1577878824
9,-0.9249,CT,1577879619
10,0.4073,WY,1577882515
11,-0.9291,DC,1577885439
12,-0.4015,UT,1577889320
13,0.2774,RI,1577894328
14,-0.6275,MI,1577894802
15,0.7781,NH,1577896097
16,0.8797,HI,1577897156
17,0.7505,NY,1577897724
18,-0.4185,UT,1577899022
19,0.0771,CO,1577903555
20,0.7891,OH,1577904059
21,0.9130,NY,1577904927
22,0.0358,KY,1577908143
23,0.2577,OR,1577909926
24,-0.0873,ME,1577917306
25,0.9423,HI,1577920579
26,0.5048,WY,1577922767
27,0.1568,WA,1577923245
28,0.3623,OR,1577925226
29,0.4578,NC,1577931493
30,0.2374,ND,1577931979
31,0.2054,NM,1577933499
32,-0.3055,UT,1577937937
33,-0.2159,SD,1577940429
34,0.3002,RI,1577941291
35,0.2422,AR,1577942281
36,0.0554,MN,1577946461
37,0.2276,AR,1577948643
38,-1.0000,NJ,1577949328
39,-0.8898,MP,1577954960
40,0.2420,WA,1577955140
41,0.1909,KS,1577955695
42,-0.9990,DC,1577956903
43,-0.9449,IN,1577957088
44,0.3312,AL,1577958245
45,0.1061,KS,1577960123
46,-0.0232,MA,1577960402
47,-0.7050,MD,1577964943
48,0.8292,AZ,1577970814
49,0.9086,WV,1577971458
50,0.3996,RI,1577974657
51,0.3406,RI,1577977451
52,0.0003,CA,1577978492
53,0.5961,NE,1577979366
54,-0.4552,DE,1577980793
55,0.1740,KY,1577984475
56,-0.9262,OK,1577986672
57,-0.1704,ME,1577999022
58,0.0206,WA,1578003708
59,0.8575,WV,1578004636
60,-0.5293,SC,1578006004
61,-0.8185,TX,1578008610
62,-0.4002,GA,1578011670
63,0.1564,CO,1578013013
64,-0.3978,SC,1578019920
65,-0.8255,MP,1578027367
66,0.4125,LA,1578031125
67,0.9059,MO,1578034392
68,-1.0000,DC,1578038458
69,0.9823,OH,1578039270
70,-0.8921,NJ,1578047734
71,0.5711,NE,1578051925
72,0.4286,WY,1578057425
73,-0.6196,IA,1578057473
74,0.4496,NC,1578059563
75,0.9265,WV,1578061260
76,0.5201,FL,1578063516
77,-0.5316,DE,1578066028
78,-0.9250,IL,1578066773
79,0.9375,WV,1578069716
80,-0.5152,SC,1578070380
81,0.0594,CO,1578070861
82,-0.1142,MA,1578071702
83,0.1832,CO,1578077034
84,0.7809,MO,1578081108
85,-0.9686,TX,1578081266
86,-0.5744,MI,1578081468
87,0.5271,NC,1578082487
88,-0.0647,MT,1578083109
89,0.2553,KS,1578088771
90,-1.0000,DC,1578093731
91,-0.7468,MD,1578095244
92,0.8470,OH,1578096630
93,0.6743,MO,1578098200
94,0.7639,HI,1578101910
95,-0.9155,MP,1578102888
96,-0.4123,SD,1578105811
97,-0.7616,MD,1578109011
98,-0.0456,MT,1578114816
99,-0.3215,UT,1578116476
100,-0.4204,SD,1578117454
101,-0.3772,SC,1578124961
102,-0.8688,MP,1578126646
103,0.9529,WV,1578127967
104,-0.3133,SD,1578131710
105,0.3851,AL,1578132679
106,-0.7198,MS,1578135042
107,-0.5482,MS,1578137874
108,-0.5396,IA,1578138085
109,0.6913,NC,1578139669
110,-0.4134,WI,1578142371
111,0.5334,LA,1578147871
112,-0.8409,IL,1578152131
113,-0.4696,DE,1578153610
114,-0.2706,UT,1578155700
115,-0.2989,GA,1578156334
116,0.0558,CA,1578157241
117,-0.8483,NJ,1578161870
118,1.0000,WV,1578163567
119,-0.8037,MP,1578165145
120,0.2230,KY,1578172559
121,0.0581,CO,1578184717
122,0.8890,AZ,1578184793
123,0.3572,WY,1578191327
124,-0.0131,VA,1578199793
125,-0.6416,MS,1578200051
126,-0.4378,DE,1578200994
127,0.8592,WV,1578202978
128,-0.0021,AR,1578203072
129,0.2603,NM,1578206385
130,-0.0133,MA,1578209426
131,-0.6488,AK,1578211991
132,0.0580,WA,1578217943
133,0.4210,NM,1578218218
134,1.0000,WV,1578220256
135,0.6690,NC,1578220381
136,0.8470,HI,1578221309
137,-0.6502,IA,1578222060
138,-0.2191,SD,1578222098
139,0.0783,MA,1578229697
140,0.9547,OH,1578229946
141,0.2663,OR,1578232373
142,0.5011,RI,1578233100
143,-0.4491,WI,1578242281
144,-0.6793,AK,1578243191
145,-0.2627,SD,1578248175
146,-0.9078,TX,1578252592
147,0.8632,NY,1578254867
148,1.0000,WV,1578257895
149,-0.8798,AK,1578263650
150,0.0961,CO,1578271941
151,-0.6018,AK,1578273092
152,0.2616,KY,1578274400
153,0.4171,AL,1578285870
154,1.0000,AZ,1578285963
155,-0.6332,AK,1578286930
156,0.3464,RI,1578290382
157,-0.6988,PA,1578303472
158,0.0258,MT,1578304294
159,-0.8901,PA,1578309167
160,-0.4178,WI,1578312671
161,0.0694,WA,1578317370
162,0.5437,NE,1578317518
163,0.3178,NM,1578319028
164,0.9770,NY,1578319711
165,-0.9414,IL,1578323064
166,-1.0000,NJ,1578325687
167,0.3026,OR,1578328271
168,-0.2523,SD,1578329422
169,-0.7955,IN,1578329440
170,-0.4324,DE,1578329496
171,-0.6961,MI,1578330244
172,0.3263,ND,1578331954
173,-0.8773,MP,1578333290
174,-0.5140,MS,1578335571
175,0.8183,NH,1578336948
176,-0.7116,AK,1578339743
177,-0.4411,UT,1578344369
178,0.3940,RI,1578345174
179,0.5205,WY,1578345520
180,0.2177,ND,1578348230
181,-0.0108,MA,1578349533
182,0.2671,AR,1578351495
183,0.0063,ME,1578356418
184,0.2753,KY,1578359430
185,0.4484,NM,1578359643
186,-0.0746,MA,1578360881
187,-0.9047,IN,1578364766
188,0.8019,AZ,1578366028
189,-0.8596,MP,1578368444
190,-0.9901,MP,1578369936
191,0.5271,FL,1578375757
192,0.2586,WA,1578376682
193,-0.5069,NV,1578377225
194,-0.3114,UT,1578381672
195,0.6440,NC,1578385451
196,0.5467,WY,1578390136
197,-0.9885,IL,1578391737
198,-0.6512,PA,1578392383
199,-0.5474,WI,1578392954
200,0.2295,AL,1578393071
201,-0.6049,AK,1578393899
202,0.9333,NY,1578396772
203,-0.6020,WI,1578396836
204,0.0822,MA,1578397873
205,-0.3221,DE,1578399816
206,0.5197,OR,1578401073
207,-0.2723,GA,1578401652
208,0.4128,RI,1578406072
209,-0.6936,MD,1578406497
210,0.7848,TN,1578416396
211,-0.7040,MI,1578420367
212,0.9742,OH,1578421709
213,0.9451,WV,1578423514
214,-0.1021,MA,1578424691
215,0.4161,NM,1578428125
216,-1.0000,DC,1578433539
217,0.4593,OR,1578442530
218,0.6657,MO,1578450137
219,0.2244,WA,1578451873
220,-0.9091,IL,1578453016
